Player,Team,Age,Pos,Height,Weight,GP,PTS,REB,AST
Andrew Nembhard,IND,25,PG / SG,6-4,191,65,10,3.3,5
Ben Sheppard,IND,23,SG / SF,6-6,190,63,5.3,2.8,1.3
Bennedict Mathurin,IND,23,SG / SF,6-5,210,72,16.1,5.3,1.9
Enrique Freeman,IND,24,PF / C,6-7,220,22,2.1,1.4,0.4
Isaiah Jackson,IND,23,PF / C,6-9,205,5,7,5.6,1
Jahlil Okafor,IND,29,C,6-10,270,1,0,1,1
James Johnson,IND,38,PF / SF,6-7,240,12,0.7,0.5,0.3
James Wiseman,IND,24,C / PF,6-11,240,1,6,1,0
Jarace Walker,IND,21,PF / SF,6-7,235,75,6.1,3.1,1.5
Johnny Furphy,IND,20,SG / SF,6-9,200,50,2.1,1.4,0.4
Moses Brown,DAL,25,C,7-2,258,9,3.2,1.4,0
Myles Turner,IND,29,C,6-11,250,72,15.6,6.5,1.5
Obi Toppin,IND,27,PF,6-9,220,79,10.5,4,1.6
Pascal Siakam,IND,31,PF / SF,6-8,245,78,20.2,6.9,3.4
Quenton Jackson,IND,26,SG / PG,6-5,173,28,5.8,1.6,1.9
RayJ Dennis,IND,24,PG / SG,6-2,180,11,2.7,1.1,1.3
T.J. McConnell,IND,33,PG,6-1,190,79,9.1,2.4,4.4
Thomas Bryant,IND,27,C,6-10,248,56,6.9,3.9,0.9
Tony Bradley,IND,27,C,6-11,248,14,4.4,3,0.4
Tristen Newton,MIN,24,PG / SG,6-5,190,5,0.6,0,0.2
Tyrese Haliburton,IND,25,PG,6-5,185,73,18.6,3.5,9.2
Amir Coffey,LAC,28,SG / SF,6-7,210,72,9.7,2.2,1.1
Ben Simmons,LAC,28,PG / SF / PF,6-10,240,18,2.9,3.8,3.1
Bogdan Bogdanović,LAC,32,SG / SF,6-5,225,30,11.4,3.1,3.2
Bones Hyland,MIN,24,PG / SG,6-2,169,20,7.2,1.2,1.4
Cam Christie,LAC,19,SG / SF,6-6,190,13,1.4,0.9,0.5
Derrick Jones Jr.,LAC,28,SF / PF,6-6,210,77,10.1,3.4,0.8
Drew Eubanks,LAC,28,C / PF,6-10,245,24,2.7,2.4,0.4
Ivica Zubac,LAC,28,C,7-0,240,80,16.8,12.6,2.7
James Harden,LAC,35,SG / PG,6-5,220,79,22.8,5.8,8.7
Jordan Miller,LAC,25,SF / SG,6-5,194,37,4.1,1.6,0.9
Kai Jones,DAL,24,PF / C,6-11,221,28,2.2,1.6,0.4
Kawhi Leonard,LAC,34,SF / PF,6-7,225,37,21.5,5.9,3.1
Kevin Porter Jr.,MIL,25,SG / PG,6-4,203,45,9.3,3.6,3.2
Kobe Brown,LAC,25,SF / PF,6-7,250,40,1.9,1.6,0.6
Kris Dunn,LAC,31,PG / SG,6-3,205,74,6.4,3.4,2.8
MarJon Beauchamp,NYK,24,SG / SF,6-7,199,3,4,1,0.7
Mo Bamba,NOP,27,C,7-0,231,28,4.6,4.3,0.6
Nicolas Batum,LAC,36,SF / PF,6-8,230,78,4,2.8,1.1
Norman Powell,LAC,32,SG / SF,6-4,215,60,21.8,3.2,2.1
Patrick Baldwin Jr.,LAC,22,SF / PF,6-9,220,2,3,1.5,0.5
Patty Mills,LAC,36,PG,6-2,180,12,3.1,0.1,0.4
Terance Mann,ATL,28,SG / SF,6-5,215,37,6,2.9,1.6
Trentyn Flowers,LAC,20,SF / SG,6-9,185,6,1.8,0.7,0
Alex Len,LAL,32,C,7-0,250,10,2.2,3.1,0.8
Anthony Davis,DAL,32,PF / C,6-10,253,42,25.7,11.9,3.4
Armel Traore,LAL,22,PF / C,6-9,245,9,1.6,1.7,0.1
Austin Reaves,LAL,27,SG / PG,6-5,197,73,20.2,4.5,5.8
Bronny James,LAL,20,PG / SG,6-3,210,27,2.3,0.7,0.8
Cam Reddish,LAL,25,SF / SG,6-7,217,33,3.2,2,0.7
Christian Koloko,LAL,25,C,7-0,225,37,2.4,2.5,0.4
D'Angelo Russell,BKN,29,PG / SG,6-3,193,29,12.4,2.8,4.7
Dalton Knecht,LAL,24,SG / SF,6-6,215,78,9.1,2.8,0.8
Dorian Finney-Smith,LAL,32,SF / PF,6-7,220,43,7.9,3.6,1.4
Gabe Vincent,LAL,29,PG / SG,6-2,200,72,6.4,1.3,1.4
Jalen Hood-Schifino,PHI,22,PG / SG,6-5,210,2,2,0.5,0.5
Jarred Vanderbilt,LAL,26,PF / SF,6-8,214,36,4.1,5.1,1.1
Jaxson Hayes,LAL,25,C / PF,7-0,220,56,6.8,4.8,1
Jordan Goodwin,LAL,26,PG / SG,6-5,215,29,5.6,3.9,1.4
LeBron James,LAL,40,SF / PF / PG,6-9,250,70,24.4,7.8,8.2
Luka Dončić,LAL,26,PG / SG / SF,6-6,230,28,28.2,8.1,7.5
Markieff Morris,LAL,35,PF / C,6-9,245,8,5.5,1.9,2.1
Max Christie,DAL,22,SG / SF,6-5,190,46,8.5,2.7,1.4
Maxwell Lewis,BKN,22,SF / SG,6-7,215,7,0.6,0.3,0.3
Quincy Olivari,LAL,24,SG,6-3,200,2,1.5,0,0.5
Rui Hachimura,LAL,27,PF / SF,6-8,230,59,13.1,5,1.4
Shake Milton,LAL,28,SG / PG,6-5,205,30,3.9,1.8,1.3
Trey Jemison III,LAL,25,C,6-11,270,22,2.6,2.8,0.3
Brandon Clarke,MEM,28,PF / C,6-8,215,64,8.3,5.1,1
Cam Spencer,MEM,25,SG / PG,6-4,205,25,4.2,1.2,1.4
Colin Castleton,TOR,25,C / PF,6-10,250,10,1.4,0.9,0
Desmond Bane,ORL,27,SG / SF,6-5,215,69,19.2,6.1,5.3
GG Jackson,MEM,20,PF / SF,6-9,210,29,7.2,3.2,1
Ja Morant,MEM,25,PG,6-2,174,50,23.2,4.1,7.3
Jake LaRavia,SAC,23,SF / PF,6-7,235,47,7.3,4.4,2.8
Jaren Jackson Jr.,MEM,25,PF / C,6-10,242,74,22.2,5.6,2
Jay Huff,MEM,27,C / PF,7-1,240,64,6.9,2,0.6
Jaylen Wells,MEM,21,SF / SG,6-8,,79,10.4,3.4,1.7
John Konchar,MEM,29,SG / SF,6-5,210,46,2.4,3.3,0.9
Lamar Stevens,MEM,27,SF / PF,6-7,230,17,4.4,2.2,0.5
Luke Kennard,MEM,29,SG / SF,6-5,206,65,8.9,2.8,3.3
Marcus Smart,WAS,31,PG / SG,6-3,220,19,8.7,2.3,3.7
